x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
-60,-32,1.5,0.00011375821022727273,5.556613636363636e-05,7.602951704545455e-05,0.00010829971590909088,9.487179545454546e-05,0.00011050109090909092,0.00012958691761363634,0.00011176690909090908
-56,-32,1.5,0.00011086900568181819,5.118756818181818e-05,7.348642045454546e-05,0.0001061622159090909,9.361764204545454e-05,0.000108398,0.00012620340909090907,0.0001079890909090909
-52,-32,1.5,0.00010743187499999998,4.800513636363636e-05,7.130085227272727e-05,0.0001032116477272727,9.211327840909091e-05,0.0001061709090909091,0.0001238558380681818,0.00010394127272727273
-48,-32,1.5,0.00010413869318181816,4.4503454545454536e-05,6.89872443181818e-05,0.00010203693181818182,9.044938636363636e-05,0.00010323909090909092,0.00012151140624999999,0.00010032381818181818
-44,-32,1.5,0.00010073531249999999,4.1069977272727264e-05,6.681210227272727e-05,9.947926136363636e-05,8.858885795454542e-05,0.00010102145454545452,0.00011839694602272725,9.699163636363637e-05
-40,-32,1.5,9.803684659090908e-05,3.807938636363636e-05,6.477465909090909e-05,9.76059659090909e-05,8.638755681818183e-05,9.903854545454543e-05,0.00011536428977272726,9.36709090909091e-05
-36,-32,1.5,9.48669034090909e-05,3.507249999999999e-05,6.242988636363636e-05,9.548068181818182e-05,8.511777272727272e-05,9.62881818181818e-05,0.0001121637784090909,9.020399999999999e-05
-32,-32,1.5,9.19431818181818e-05,3.200568181818181e-05,6.0296647727272724e-05,9.299403409090909e-05,8.333157954545456e-05,9.385272727272728e-05,0.00010908200284090908,8.734636363636363e-05
-28,-32,1.5,8.909769886363636e-05,2.9559181818181814e-05,5.8636079545454546e-05,9.123863636363637e-05,8.163738068181816e-05,9.190854545454546e-05,0.00010673424715909092,8.463818181818182e-05
-24,-32,1.5,8.68878409090909e-05,2.7331886363636357e-05,5.6306193181818184e-05,8.834801136363634e-05,7.986443181818182e-05,9.015181818181819e-05,0.00010322092329545454,8.2094e-05
-20,-32,1.5,8.426147727272727e-05,2.5233204545454542e-05,5.424937499999999e-05,8.724176136363636e-05,7.820280681818181e-05,8.869090909090908e-05,0.00010028761363636366,8.00889090909091e-05
-16,-32,1.5,8.140193181818181e-05,2.3237750000000003e-05,5.247480113636363e-05,8.508693181818181e-05,7.65969034090909e-05,8.634545454545454e-05,9.73216193181818e-05,7.736254545454545e-05
-12,-32,1.5,7.954772727272726e-05,2.1370454545454546e-05,5.096363636363636e-05,8.301204545454544e-05,7.50624715909091e-05,8.482963636363636e-05,9.489686079545455e-05,7.517090909090908e-05
-8,-32,1.5,7.700011363636363e-05,1.9288386363636362e-05,4.964178977272727e-05,8.192164772727273e-05,7.361633522727273e-05,8.374581818181819e-05,9.351524147727271e-05,7.351781818181819e-05
-4,-32,1.5,7.465538352272726e-05,1.7591954545454545e-05,4.765036931818181e-05,8.004477272727272e-05,7.244952272727272e-05,8.229763636363636e-05,9.113166193181817e-05,7.114127272727272e-05
0,-32,1.5,7.241550852272727e-05,1.597725e-05,4.65528125e-05,7.883457386363636e-05,7.100457954545455e-05,8.071527272727272e-05,8.999748579545454e-05,6.928363636363635e-05
